Abbreviation,Article,Journal,Volume,Number
Malo14,Malo et al. 2014,ApJ,788,81
Mart21,Martioli et al. 2021,A&A,649,177
Marc01,Marcy et al . 2001,ApJ,556,296
Marc87,Marcy et al. 1987,PASP,99,490
Marc98,Marcy et al. 1998,ApJL,505,147
Marf21,Marfil et al. 2021,Submitted to A&A,,
Mari90,Mariotti et al. 1990,A&A,230,77
Mart07,Martinache et al. 2007,ApJ,661,496
Mart09,Martinache et al. 2009,ApJ,695,1183
May09,Mayor et al. 2009,A&A,507,487
MB03,Mohanty & Basri 2003,ApJ,583,451
MC92,Marcy & Chen 1992,ApJ,390,550
McC01 ,McCarthy et al. 2001,AJ,121,3259
McQ13,McQuillan et al. 2013,MNRAS,432,1203
Med20,Medina et al. 2020,ApJ,905,107
Mel13,Melikyan et al. 2013,Ap,56,8
Men19,Ment et al. 2019,AJ,157,32
Mes10,Messina et al. 2010,A&A,520,15
Met15,Metodieva et al. 2015,MNRAS,446,3878
Moc02,Mochnacki et al. 2002,AJ,124,2868
Mond19,Mondrik et al. 2019,ApJ,870,10
Mone14,Montet et al. 2014,ApJ,781,28
Mons01,Montes et al. 2001,MNRAS,328,45
Mont06,Montagnier et al. 2006,A&A,460,19
Mora09,Morales et al. 2009,ApJ,691,1400
Mori08,Morin et al. 2008,MNRAS,390,567
Mori10,Morin et al. 2010,MNRAS,407,2269
MR14,Martinez-Rodriguez 2014,MSc thesis,Universidad Complutense de Madrid,Spain
Mul74 ,Mullan 1974,ApJ,192,149
Mul89 ,Mullan et al. 1989,ApJ,343,400
Nag19,Nagel et al. 2019,A&A,622,153
New14,Newton et al. 2014,AJ,147,20
New16a,Newton et al. 2016a,ApJ,821,93
New16b,Newton et al. 2016b,PhD thesis,Harvard University,USA
New17,Newton et al. 2017,ApJ,834,85
New18,Newton et al. 2018,AJ,156,217
Nid02,Nidever et al. 2002,ApJS,141,503
Nor07 ,Norton et al. 2007,A&A,467,785
Now20,Nowak et al. 2020,A&A,642,173
Oel18,Oelkers et al. 2018,AJ,155,39
Pal20,Pallé et al. 2020,A&A,638,61
Pas19,Passegger et al. 2019,A&A,627,161
PB06,Phan-Bao et al. 2006,A&A,446,515
PB97,Pesch & Bidelman 1997,PASP,109,643
Per17a,Perger et al. 2017,A&A,598,26
Per17b,Perger et al. 2017,A&A,608,63
Per19,Perger et al. 2019,A&A,624,123
Pet06,Pettersen 2006,Obs,126,397
Pet75 ,Pettersen 1975,A&A,41,87
Pet91 ,Pettersen 1991,MnSAI,62,217
PG80 ,Pettersen & Griffin 1980,Obs,100,198
Pla21,Planchan et al. 2020,Nature,587,497
PMSU ,Hawley et al. 1996,AJ,112,2799
Poj02,Pojmanski 2002,Acta Astron.,52,397
Pou04 ,Pourbaix et al. 2004,A&A,424,727
Pov09,Poveda et al. 2009,ApJ,706,343
PPMXL ,Roeser et al. 2010,AJ,139,2440
Pra06 ,Pravdo et al. 2006,ApJ,649,389
Pre01,Preibisch et al. 2001,AJ,121,1040
PS1,Biver et al. 2018,A&A,619,127
Rae20 ,Raetz et al. 2020,A&A,637,22
Rag09 ,Raghavan et al. 2009,ApJ,690,394
Raj13,Rajpurohit et al. 2013,A&A,556,15
Ram20,Ramsay et al. 2020,MNRAS,497,2320
RAVE5,Kunder et al. 2017,AJ,153,75
RB09,Reiners & Basri 2009,ApJ,705,1416
RB10,Reiners & Basri 2010,ApJ,710,924
Reb10,Rebull et al. 2010,ApJS,186,259
Reid02,Reid et al. 2002,AJ,124,519
Reid03,Reid et al. 2003,AJ,126,3007
Reid04,Reid et al. 2004,AJ,128,463
Reid07,Reid et al. 2007,AJ,133,2825
Rein12,Reiners et al. 2012,AJ,143,93
Rein18,Reiners et al. 2018,A&A,612,49
Rev20,Revilla 2020,MSc thesis,Universidad Complutense de Madrid,Spain
RG97,Reid & Gizis 1997,AJ,113,2246
Ria06 ,Riaz et al. 2006,AJ,132,866
Rib18,Ribas et al. 2018,Natur,563,365
Rid15,Riddle et al. 2015,ApJ,799,4
Rie10,Riedel et al. 2010,AJ,140,897
Rie14,Riedel et al. 2014,AJ,147,85
Rie17,Riedel et al. 2017,ApJ,840,87
Riv05,Rivera et al. 2005,ApJ,634,625
Riv10,Rivera et al. 2010,ApJ,719,890
Rob13,Robertson et al. 2013,ApJ,774,147
Sad21,Sadegi et al.,in prep.,,
Sar21,Sarkis et al. 2018,AJ,155,257
Sche15,Schoefer 2015,MSc thesis,Goettingen Universitaet,Germany
Sche17,Schoefer 2017,PhD thesis,Goettingen Universitaet,Germany
Sche19,Schoefer et al. 2019,A&A,623,44
Schl10,Schlieder et al. 2010,AJ,140,119
Schl12a,Schlieder et al. 2012,AJ,143,80
Schl12b,Schlieder et al. 2012,AJ,144,109
Schm07,Schmidt et al. 2007,AJ,133,2258
Schn19,Schneider et al. 2019,AJ,157,234
Scho05,Scholz et al. 2005,A&A,442,211
Schw19,Schweitzer et al. 2019,A&A,625,68
SDSS9,Adelman-McCarthy et al. 2012,yCat,5139,0
SH86,Stauffer & Hartmann 1986,ApJS,61,531
Shk09 ,Shkolnik et al. 2009,ApJ,699,649
Shk10 ,Shkolnik et al. 2010,ApJ,716,1522
Shk12,Shkolnik et al. 2012,ApJ,758,56
Ski12,Skiff 2012,Catalogue of Stellar Spectral Classifications,,
Skr21,Skrzypinski 2021,MSc thesis,Universidad Complutense de Madrid,Spain
SM15,Suarez Mascareno et al. 2015,MNRAS,452,2745
SM16,Suarez Mascareno et al. 2016,A&A,595,12
SM17a,Suarez Mascareno et al. 2017a,A&A,597,108
SM17b,Suarez Mascareno et al. 2017b,MNRAS,468,4772
SM18,Suarez Mascareno et al. 2018,A&A,612,89
Sot21,Soto et al. 2021,A&A,649,144
Sou18,Soubiran et al. 2018,A&A,616,7
Spe16,Sperauskas et al. 2016,A&A,596,116
Sta97,Stauffer et al. 1997,ApJ,475,604
Stef20,Stefansson et al. 2020,AJ,159,100
Ster95,Stern et al. 1995,ApJ,448,683
Sto20,Stock et al. 2020,A&A,643,112
Stra77,Strand 1977,AJ,82,745
Strs09,Strassmeier 2009,A&ARv,17,251
Sve54 ,Svestka 1954,BAIC,5,4
Tal08,Tal-Or et al. 2018,A&A,614,122
Tam08,Tamazian et al. 2008,AJ,136,974
Tan10,Tanner et al. 2010,PASP,122,1195
Ter15,Terrien et al. 2015,ApJS,220,16
Tet11,Tetzlaff et al. 2011,MNRAS,410,190
TGAS,Brown et al. 2017,A&A,595,2
Tok06 ,Tokovinin et al. 2006,A&A,450,681
Tok10,Tokovinin et al. 2010,AJ,139,743
Tok15 ,Tokovinin et al. 2015,AJ,150,50
Tok92 ,Tokovinin 1992,A&A,256,121
Tol21,Toledo-Padrón et al. 2021,A&A,648,20
Tor06,Torres et al. 2006,A&A,460,695
Tor08,Torres et al. 2008,Handbook of Star Forming Regions,Volume II,757
TP86,Tomkin & Pettersen 1986,AJ,92,1424
TR02,Torres & Ribas 2002,ApJ,567,1140
Tri18,Trifonov et al. 2018,A&A,609,117
