Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 0.01508 9.30000 1.1240669489 2.4956271648    1.123  0.216  3.7916  4.391    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-13      0.00 7.378e-01 2.482e-01 2.474e-03 6.764e-04 6.151e-03 -1.000 1.398e-02 4.230 4.088 4.357 4.379 3.677
0.0152 0.01508 9.30000 1.1499999762 2.4996678829    1.149  0.271  3.7966  4.366    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-13      0.00 7.412e-01 2.450e-01 2.450e-03 6.700e-04 6.094e-03 -1.000 1.382e-02 4.093 3.952 4.211 4.231 3.552
0.0152 0.01508 9.30000 1.1519039869 2.4999563694    1.151  0.275  3.7970  4.364    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-13      0.00 7.412e-01 2.450e-01 2.450e-03 6.702e-04 6.095e-03 -1.000 1.382e-02 4.083 3.942 4.200 4.220 3.543
0.0152 0.01508 9.30000 1.1860890388 2.5049545765    1.185  0.346  3.8032  4.331    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.28e-13      0.00 7.409e-01 2.452e-01 2.463e-03 6.737e-04 6.129e-03 -1.000 1.391e-02 3.905 3.765 4.010 4.029 3.381
0.0152 0.01508 9.30000 1.2000000477 2.5068950653    1.199  0.375  3.8056  4.317    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 7.406e-01 2.454e-01 2.469e-03 6.756e-04 6.147e-03 -1.000 1.396e-02 3.833 3.694 3.934 3.953 3.316
0.0152 0.01508 9.30000 1.2500000000 2.5134611130    1.250  0.472  3.8132  4.268    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.57e-13      0.00 7.409e-01 2.451e-01 2.469e-03 6.756e-04 6.148e-03 -1.000 1.395e-02 3.590 3.453 3.678 3.695 3.093
0.0152 0.01508 9.30000 1.2999999523 2.5194499493    1.300  0.562  3.8191  4.218    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-13      0.00 7.413e-01 2.448e-01 2.467e-03 6.748e-04 6.145e-03 -1.000 1.396e-02 3.364 3.226 3.441 3.457 2.881
0.0152 0.01508 9.30000 1.3035449982 2.5198545456    1.303  0.569  3.8195  4.214    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-13      0.00 7.412e-01 2.448e-01 2.468e-03 6.750e-04 6.147e-03 -1.000 1.396e-02 3.349 3.211 3.425 3.441 2.866
0.0152 0.01508 9.30000 1.3500001431 2.5249314308    1.350  0.648  3.8232  4.165    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-13      0.00 7.401e-01 2.459e-01 2.478e-03 6.767e-04 6.180e-03 -1.000 1.407e-02 3.151 3.013 3.220 3.235 2.677
0.0152 0.01508 9.30000 1.3779445887 2.5277965069    1.378  0.694  3.8249  4.135    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-13      0.00 7.402e-01 2.458e-01 2.477e-03 6.749e-04 6.185e-03 -1.000 1.404e-02 3.034 2.895 3.099 3.115 2.565
0.0152 0.01508 9.30000 1.4000000954 2.5299651623    1.400  0.731  3.8259  4.109    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-13      0.00 7.401e-01 2.458e-01 2.478e-03 6.739e-04 6.187e-03 -1.000 1.404e-02 2.943 2.804 3.006 3.021 2.476
0.0152 0.01508 9.30000 1.4292703867 2.5327246189    1.429  0.779  3.8271  4.074    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-13      0.00 7.398e-01 2.461e-01 2.478e-03 6.756e-04 6.177e-03 -1.000 1.407e-02 2.822 2.682 2.882 2.897 2.358
0.0152 0.01508 9.30000 1.4500000477 2.5346016884    1.450  0.813  3.8277  4.049    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-13      0.00 7.396e-01 2.463e-01 2.478e-03 6.769e-04 6.170e-03 -1.000 1.408e-02 2.737 2.597 2.795 2.810 2.273
0.0152 0.01508 9.30000 1.4745893478 2.5367496014    1.474  0.853  3.8273  4.015    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-13      0.00 7.395e-01 2.465e-01 2.478e-03 6.770e-04 6.167e-03 -1.000 1.405e-02 2.638 2.497 2.695 2.711 2.174
0.0152 0.01508 9.30000 1.4993813038 2.5388336182    1.499  0.892  3.8262  3.978    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-13      0.00 7.393e-01 2.467e-01 2.479e-03 6.772e-04 6.166e-03 -1.000 1.400e-02 2.539 2.397 2.597 2.613 2.072
0.0152 0.01508 9.30000 1.5000000000 2.5388846397    1.500  0.893  3.8261  3.977    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-13      0.00 7.393e-01 2.467e-01 2.479e-03 6.772e-04 6.166e-03 -1.000 1.400e-02 2.537 2.395 2.595 2.610 2.069
0.0152 0.01508 9.30000 1.5008009672 2.5389504433    1.501  0.895  3.8261  3.976    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-13      0.00 7.393e-01 2.467e-01 2.479e-03 6.772e-04 6.166e-03 -1.000 1.400e-02 2.534 2.392 2.592 2.607 2.066
0.0152 0.01508 9.30000 1.5185252428 2.5403892994    1.518  0.922  3.8243  3.947    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-13      0.00 7.392e-01 2.467e-01 2.480e-03 6.776e-04 6.171e-03 -1.000 1.403e-02 2.465 2.323 2.525 2.541 1.993
0.0152 0.01508 9.30000 1.5406054258 2.5421285629    1.540  0.955  3.8210  3.907    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-13      0.00 7.391e-01 2.468e-01 2.482e-03 6.781e-04 6.178e-03 -1.000 1.408e-02 2.382 2.238 2.446 2.462 1.902
0.0152 0.01508 9.30000 1.5500001907 2.5428512096    1.550  0.969  3.8194  3.889    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-13      0.00 7.390e-01 2.469e-01 2.483e-03 6.784e-04 6.181e-03 -1.000 1.409e-02 2.348 2.203 2.414 2.430 1.863
0.0152 0.01508 9.30000 1.5643711090 2.5439374447    1.564  0.990  3.8169  3.862    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-13      0.00 7.388e-01 2.471e-01 2.484e-03 6.789e-04 6.182e-03 -1.000 1.408e-02 2.295 2.149 2.364 2.381 1.804
0.0152 0.01508 9.30000 1.5819152594 2.5452330112    1.581  1.015  3.8130  3.826    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-13      0.00 7.386e-01 2.473e-01 2.485e-03 6.796e-04 6.184e-03 -1.000 1.408e-02 2.232 2.086 2.308 2.326 1.733
0.0152 0.01508 9.30000 1.5986617804 2.5464391708    1.598  1.038  3.8084  3.789    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -2e-13      0.00 7.384e-01 2.476e-01 2.487e-03 6.804e-04 6.187e-03 -1.000 1.404e-02 2.175 2.028 2.258 2.276 1.663
0.0152 0.01508 9.30000 1.6000000238 2.5465342999    1.599  1.040  3.8081  3.787    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-13      0.00 7.383e-01 2.476e-01 2.488e-03 6.805e-04 6.187e-03 -1.000 1.405e-02 2.171 2.023 2.254 2.273 1.658
0.0152 0.01508 9.30000 1.6149692535 2.5475859642    1.614  1.059  3.8037  3.754    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-13      0.00 7.381e-01 2.478e-01 2.489e-03 6.809e-04 6.192e-03 -1.000 1.409e-02 2.122 1.974 2.213 2.233 1.598
